phase,class,percent,source_config,note
decode_c1,MoE align / route,0.65,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 0.620 ms"
decode_c1,sparse indexer (DSA),0.37,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 0.351 ms"
decode_c1,sampling / spec bookkeeping,0.07,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 0.064 ms"
decode_c1,memcpy / memset,0.05,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 0.049 ms"
decode_c1,_zero_kv_blocks,0.00,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 0.002 ms"
decode_c1,"drafter (DFlash2 k=7, cross-cutting)",11.38,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 10.78 ms including 1.75 ms of its own collectives. Quoted as 11.4 % in the README and docs/10. Corrected down from an earlier 19.5 % estimate. NOT additive with the class rows"
decode_c1,TOTAL (wall),100,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %"
decode_c8,MoE trellis GEMM,51.59,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 111.708 ms, all target-side. Quoted as 'the MoE stage 51.6 %' in the README and docs/10"
decode_c8,MoE trellis GEMM - gate/up (w13),33.59,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 72.733 ms (sub-row)"
decode_c8,MoE trellis GEMM - down (w2),18.00,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 38.975 ms (sub-row)"
decode_c8,dense BF16 GEMM,21.07,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 45.610 ms (36.385 target + 9.225 draft)"
decode_c8,NCCL collectives,11.67,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 25.258 ms (21.934 target + 3.324 draft)"
decode_c8,KDA/GDN linear-attn,8.00,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 17.315 ms"
decode_c8,CPU gap (GPU idle),2.00,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 4.323 ms"
decode_c8,MoE hadamard,1.79,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 3.883 ms"
decode_c8,hyper-connection mixing (HC),1.48,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 3.194 ms"
decode_c8,MLA attention,1.41,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 3.050 ms"
decode_c8,norm / elementwise / copy,1.36,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 2.938 ms"
decode_c8,MoE align / route,0.60,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 1.305 ms"
decode_c8,sparse indexer (DSA),0.26,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 0.566 ms"
decode_c8,sampling / spec bookkeeping,0.05,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 0.115 ms"
decode_c8,memcpy / memset,0.05,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 0.109 ms"
decode_c8,_zero_kv_blocks,0.01,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 0.022 ms"
decode_c8,"drafter (DFlash2 k=7, cross-cutting)",6.51,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64; 14.09 ms. The P7 file states 6.5 %; our production-9 profiler run section 3.3 restates it as 6.51 %. NOT additive with the class rows"
decode_c8,TOTAL (wall),100,production 7,"our production-7 profiler run section 2.3 ; wall 216.52 ms/step (profiler on; profiler-off 213.50 / 216.39 ms), GPU busy 212.2 ms, occupancy 98.0 %, 63 steps x 3 ranks, verify batch M=64"
